game_id,game,round,phase,season_code,team_id_a,team_id_b,fast_break_points_a,fast_break_points_b,turnover_points_a,turnover_points_b,second_chance_points_a,second_chance_points_b,defensive_rebounds_a,offensive_rebounds_b,offensive_rebounds_a,defensive_rebounds_b,turnovers_starters_a,turnovers_bench_a,turnovers_starters_b,turnovers_bench_b,steals_starters_a,steals_bench_a,steals_starters_b,steals_bench_b,assists_starters_a,assists_bench_a,assists_starters_b,assists_bench_b,points_starters_a,points_bench_a,points_starters_b,points_bench_b,max_a,minute_prev_a,prev_a,minute_str_a,str_a,max_b,minute_prev_b,prev_b,minute_str_b,str_b,max_lead_a,max_lead_b,minute_max_lead_a,minute_max_lead_b,points_max_lead_a,points_max_lead_b
E2016_108,ZAL-UNK,14,REGULAR SEASON,E2016,ZAL,UNK,0,1,9,8,16,9,20,5,10,21,9,2,6,4,2,1,5,0,4,11,21,1,33,47,78,10,11,12,19-28,14,30-28,9,34,70-63,36,70-72,12,10,30,6,69-57,6-16
E2016_109,CSK-ULK,14,REGULAR SEASON,E2016,CSK,ULK,4,4,17,28,11,12,31,8,10,23,8,15,9,2,2,3,8,7,7,9,10,10,42,37,32,63,12,6,8-9,9,20-9,14,40,75-72,43,75-86,13,16,12,45,26-13,79-95
E2016_110,DAR-TEL,14,REGULAR SEASON,E2016,DAR,TEL,7,4,13,16,8,18,27,13,12,29,7,2,10,3,4,3,3,1,8,5,7,3,52,34,54,30,9,24,40-53,26,49-53,22,5,13-8,12,13-30,6,19,40,20,84-78,29-48
E2016_111,BAR-MIL,14,REGULAR SEASON,E2016,BAR,MIL,5,0,12,6,18,13,22,10,13,18,3,6,3,6,2,4,2,2,21,9,3,14,51,38,43,32,7,6,13-6,7,20-6,5,7,21-7,8,21-12,21,0,30,0,72-51,
E2016_112,PAN-BAS,14,REGULAR SEASON,E2016,PAN,BAS,12,2,23,4,7,10,20,10,8,34,4,4,11,8,7,4,0,3,9,2,8,4,46,23,43,25,7,9,20-16,10,27-16,11,10,27-16,13,27-27,11,9,10,23,27-16,40-49
E2016_113,IST-MAD,15,REGULAR SEASON,E2016,IST,MAD,3,0,7,12,2,6,23,9,7,31,4,6,7,6,5,3,1,7,11,7,10,6,58,20,41,39,7,21,36-39,23,43-39,7,19,36-32,21,36-39,6,6,13,2,29-23,0-6
E2016_114,RED-CSK,15,REGULAR SEASON,E2016,RED,CSK,24,6,20,17,8,4,26,8,10,23,5,8,8,11,10,2,2,3,12,2,9,10,42,36,21,46,13,1,0-0,5,13-0,7,25,60-46,27,60-53,16,0,21,0,50-34,
E2016_115,MIL-ZAL,15,REGULAR SEASON,E2016,MIL,ZAL,13,2,21,16,11,6,18,9,12,21,10,9,12,7,6,5,7,4,4,8,15,4,42,28,32,46,13,22,33-42,26,46-42,13,29,56-54,34,56-67,4,14,26,36,46-42,60-74
E2016_116,BAS-TEL,15,REGULAR SEASON,E2016,BAS,TEL,4,7,18,10,8,5,21,4,11,26,6,4,10,9,8,3,2,2,21,3,13,8,81,20,51,37,14,32,73-70,35,87-70,6,24,55-45,25,55-51,17,2,35,3,87-70,8-10
E2016_117,OLY-ULK,15,REGULAR SEASON,E2016,OLY,ULK,2,5,4,11,13,11,25,13,15,23,10,3,7,7,6,2,2,2,12,3,7,5,40,31,30,32,9,5,4-5,7,13-5,10,36,65-51,38,65-61,23,0,22,0,46-23,
